#{"t_start": 1675218992.6951408, "env_id": "CartPole-v1"}
r,l,t
31.0,31,0.965796
44.0,44,1.016593
19.0,19,1.039852
14.0,14,1.056642
16.0,16,1.075231
21.0,21,1.099489
26.0,26,1.132339
19.0,19,1.153076
15.0,15,1.173195
46.0,46,1.232453
21.0,21,1.256225
27.0,27,1.287106
28.0,28,1.320197
68.0,68,1.397291
22.0,22,1.424167
27.0,27,1.453931
58.0,58,1.521308
325.0,325,1.892382
143.0,143,2.052836
333.0,333,2.423978
148.0,148,2.591372
184.0,184,2.794221
191.0,191,3.009564
500.0,500,3.564752
253.0,253,3.846805
178.0,178,4.04378
290.0,290,4.380577
209.0,209,5.265243
262.0,262,5.558172
318.0,318,5.920735
500.0,500,6.484229
132.0,132,6.633169
135.0,135,6.7864
264.0,264,7.079634
324.0,324,7.440192
500.0,500,8.008569
500.0,500,8.565638
500.0,500,10.126748
486.0,486,10.670128
159.0,159,10.847987
163.0,163,11.027821
199.0,199,11.24808
150.0,150,11.414503
188.0,188,11.626731
140.0,140,11.798096
136.0,136,11.953585
104.0,104,12.070254
125.0,125,12.20953
109.0,109,12.331194
104.0,104,12.450103
52.0,52,12.510895
108.0,108,12.630419
67.0,67,12.70663
77.0,77,12.794583
45.0,45,12.845654
50.0,50,12.90146
59.0,59,12.968017
36.0,36,13.008289
57.0,57,13.071704
33.0,33,13.109945
51.0,51,13.278414
36.0,36,13.320648
48.0,48,13.379879
27.0,27,13.412072
49.0,49,13.472063
46.0,46,13.527778
75.0,75,13.614878
45.0,45,13.665881
63.0,63,13.737999
40.0,40,13.782122
58.0,58,13.848098
63.0,63,13.917832
72.0,72,14.003517
71.0,71,14.0836
59.0,59,14.152079
64.0,64,14.224534
141.0,141,14.385931
81.0,81,14.479358
74.0,74,14.564381
84.0,84,14.656527
132.0,132,14.805279
145.0,145,14.96583
350.0,350,15.353931
142.0,142,15.511344
58.0,58,15.57645
86.0,86,15.671287
83.0,83,15.76495
61.0,61,15.832188
80.0,80,15.920343
77.0,77,16.007027
47.0,47,16.063121
46.0,46,16.113771
45.0,45,16.164275
43.0,43,16.210493
56.0,56,16.276488
45.0,45,16.327813
133.0,133,16.478404
95.0,95,16.588177
141.0,141,16.748957
