#{"t_start": 1675218992.6969028, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.94185
15.0,15,0.959883
16.0,16,0.97885
11.0,11,0.994535
33.0,33,1.031708
9.0,9,1.04349
26.0,26,1.07358
10.0,10,1.085333
29.0,29,1.120168
16.0,16,1.138627
24.0,24,1.169048
61.0,61,1.244501
18.0,18,1.266569
24.0,24,1.29447
20.0,20,1.317755
44.0,44,1.365589
49.0,49,1.423766
66.0,66,1.498275
206.0,206,1.737442
75.0,75,1.820411
138.0,138,1.97879
500.0,500,2.535871
231.0,231,2.792634
346.0,346,3.177433
155.0,155,3.351606
177.0,177,3.547788
140.0,140,3.705539
476.0,476,4.240182
330.0,330,5.265704
230.0,230,5.523762
362.0,362,5.935791
500.0,500,6.500215
77.0,77,6.585218
387.0,387,7.01903
342.0,342,7.399638
109.0,109,7.523094
500.0,500,8.091222
51.0,51,8.147243
125.0,125,8.285827
500.0,500,9.848232
451.0,451,10.348453
208.0,208,10.583483
153.0,153,10.75329
168.0,168,10.941642
192.0,192,11.154599
139.0,139,11.307495
157.0,157,11.4805
144.0,144,11.64844
172.0,172,11.854296
136.0,136,12.007363
136.0,136,12.158815
113.0,113,12.287083
110.0,110,12.412113
112.0,112,12.538973
42.0,42,12.584784
84.0,84,12.678564
69.0,69,12.758463
67.0,67,12.833963
70.0,70,12.911954
30.0,30,12.94556
48.0,48,13.001197
39.0,39,13.045312
43.0,43,13.092336
27.0,27,13.123991
41.0,41,13.282002
22.0,22,13.306603
45.0,45,13.362134
44.0,44,13.41617
34.0,34,13.457163
23.0,23,13.486385
38.0,38,13.531712
43.0,43,13.582711
41.0,41,13.629187
34.0,34,13.667818
39.0,39,13.711947
36.0,36,13.751918
73.0,73,13.831746
80.0,80,13.922589
76.0,76,14.013383
48.0,48,14.06527
60.0,60,14.134246
90.0,90,14.239209
107.0,107,14.361449
63.0,63,14.431757
105.0,105,14.552816
76.0,76,14.637915
84.0,84,14.73205
125.0,125,14.870562
324.0,324,15.23196
186.0,186,15.437062
112.0,112,15.562897
111.0,111,15.686044
85.0,85,15.780571
58.0,58,15.843235
91.0,91,15.945605
46.0,46,15.997581
67.0,67,16.074847
70.0,70,16.152485
59.0,59,16.218467
73.0,73,16.303261
97.0,97,16.411699
119.0,119,16.55078
97.0,97,16.66028
