#{"t_start": 1675218992.6994565, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.938608
17.0,17,0.95823
22.0,22,0.98688
43.0,43,1.036508
28.0,28,1.070229
32.0,32,1.106848
21.0,21,1.133996
13.0,13,1.148036
15.0,15,1.167799
16.0,16,1.18947
16.0,16,1.210155
54.0,54,1.272079
38.0,38,1.316643
24.0,24,1.343813
126.0,126,1.488766
322.0,322,1.854458
52.0,52,1.917572
288.0,288,2.23718
213.0,213,2.476365
184.0,184,2.682922
399.0,399,3.125521
222.0,222,3.373369
282.0,282,3.687348
170.0,170,3.876455
269.0,269,4.177746
183.0,183,4.393184
125.0,125,5.185036
212.0,212,5.421127
139.0,139,5.576183
500.0,500,6.138357
376.0,376,6.566929
131.0,131,6.715597
236.0,236,6.980556
183.0,183,7.181221
347.0,347,7.572056
470.0,470,8.105865
126.0,126,8.244204
178.0,178,8.442012
141.0,141,8.600499
169.0,169,9.790201
500.0,500,10.347479
333.0,333,10.722121
175.0,175,10.917369
178.0,178,11.116485
180.0,180,11.314814
145.0,145,11.475264
176.0,176,11.681662
165.0,165,11.875338
115.0,115,12.004925
137.0,137,12.157004
117.0,117,12.290416
42.0,42,12.336731
99.0,99,12.450842
88.0,88,12.54869
63.0,63,12.619946
76.0,76,12.704534
45.0,45,12.756684
49.0,49,12.813261
65.0,65,12.885549
52.0,52,12.943113
33.0,33,12.982026
39.0,39,13.025743
44.0,44,13.076423
53.0,53,13.134234
54.0,54,13.308897
52.0,52,13.371064
59.0,59,13.443533
53.0,53,13.509382
39.0,39,13.556197
38.0,38,13.598802
48.0,48,13.653898
22.0,22,13.677828
37.0,37,13.720928
26.0,26,13.749491
41.0,41,13.794657
43.0,43,13.84392
60.0,60,13.91135
58.0,58,13.97809
78.0,78,14.067421
75.0,75,14.155078
111.0,111,14.281133
93.0,93,14.387537
109.0,109,14.511368
237.0,237,14.778863
132.0,132,14.9237
256.0,256,15.208054
153.0,153,15.377949
153.0,153,15.549186
124.0,124,15.685606
107.0,107,15.805761
40.0,40,15.85015
64.0,64,15.921037
83.0,83,16.014624
43.0,43,16.065085
32.0,32,16.099553
63.0,63,16.171066
43.0,43,16.217273
86.0,86,16.317664
123.0,123,16.456774
148.0,148,16.628764
126.0,126,16.772495
