#{"t_start": 1675218992.6986177, "env_id": "CartPole-v1"}
r,l,t
26.0,26,0.955979
12.0,12,0.969864
12.0,12,0.983594
20.0,20,1.007346
20.0,20,1.030898
41.0,41,1.081501
20.0,20,1.104837
30.0,30,1.141004
15.0,15,1.159518
33.0,33,1.20129
52.0,52,1.264107
17.0,17,1.282791
45.0,45,1.334077
59.0,59,1.403252
107.0,107,1.525156
97.0,97,1.638421
74.0,74,1.721077
191.0,191,1.941342
327.0,327,2.303963
180.0,180,2.505887
201.0,201,2.729329
95.0,95,2.835313
297.0,297,3.164828
217.0,217,3.40712
366.0,366,3.815643
192.0,192,4.02879
244.0,244,4.308872
259.0,259,5.252522
217.0,217,5.497747
284.0,284,5.82055
261.0,261,6.109735
209.0,209,6.342165
270.0,270,6.653496
323.0,323,7.015829
500.0,500,7.574407
333.0,333,7.95569
248.0,248,8.229696
105.0,105,8.346528
240.0,240,8.614253
500.0,500,10.175267
404.0,404,10.627683
163.0,163,10.810918
180.0,180,11.011771
192.0,192,11.222918
150.0,150,11.388552
152.0,152,11.558292
179.0,179,11.773658
135.0,135,11.928978
119.0,119,12.062413
125.0,125,12.201849
105.0,105,12.320668
87.0,87,12.418866
96.0,96,12.530458
79.0,79,12.61623
74.0,74,12.699577
68.0,68,12.779177
62.0,62,12.84846
39.0,39,12.892348
53.0,53,12.952656
49.0,49,13.006242
55.0,55,13.068371
29.0,29,13.101443
62.0,62,13.284969
19.0,19,13.305007
32.0,32,13.345684
39.0,39,13.392646
21.0,21,13.419426
60.0,60,13.491618
25.0,25,13.522253
48.0,48,13.577324
26.0,26,13.608824
64.0,64,13.679513
23.0,23,13.705754
62.0,62,13.774526
27.0,27,13.806072
44.0,44,13.856091
74.0,74,13.938932
49.0,49,13.996137
61.0,61,14.064349
125.0,125,14.209539
84.0,84,14.304548
156.0,156,14.483729
90.0,90,14.585785
65.0,65,14.658801
94.0,94,14.76371
170.0,170,14.952645
340.0,340,15.329688
135.0,135,15.479619
163.0,163,15.661408
104.0,104,15.778162
65.0,65,15.850049
66.0,66,15.922578
51.0,51,15.97852
65.0,65,16.055372
38.0,38,16.098469
50.0,50,16.154843
62.0,62,16.222287
60.0,60,16.291242
81.0,81,16.382773
117.0,117,16.517979
145.0,145,16.684625
