#{"t_start": 1675218992.6960511, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.941229
25.0,25,0.971606
54.0,54,1.03668
27.0,27,1.067531
23.0,23,1.095879
22.0,22,1.120934
18.0,18,1.143423
16.0,16,1.162879
46.0,46,1.220941
12.0,12,1.234179
17.0,17,1.255425
20.0,20,1.279244
33.0,33,1.31525
10.0,10,1.326772
21.0,21,1.352467
38.0,38,1.395508
41.0,41,1.442414
119.0,119,1.578762
126.0,126,1.723506
197.0,197,1.95054
114.0,114,2.077335
167.0,167,2.26147
75.0,75,2.345515
142.0,142,2.503981
439.0,439,2.993717
456.0,456,3.49977
211.0,211,3.738504
406.0,406,4.191976
500.0,500,5.411536
239.0,239,5.684222
500.0,500,6.239922
180.0,180,6.446201
500.0,500,7.011526
255.0,255,7.293253
71.0,71,7.372511
263.0,263,7.67117
458.0,458,8.187511
185.0,185,8.394525
188.0,188,8.603747
419.0,419,10.074175
394.0,394,10.514706
222.0,222,10.763524
189.0,189,10.972397
202.0,202,11.19757
134.0,134,11.34548
178.0,178,11.543626
187.0,187,11.76834
144.0,144,11.932319
131.0,131,12.080712
103.0,103,12.193918
136.0,136,12.346937
87.0,87,12.447571
95.0,95,12.555925
85.0,85,12.650242
70.0,70,12.729332
80.0,80,12.82173
65.0,65,12.894171
26.0,26,12.922788
48.0,48,12.978349
39.0,39,13.019936
98.0,98,13.131143
60.0,60,13.312179
41.0,41,13.362105
37.0,37,13.408175
40.0,40,13.456439
36.0,36,13.500389
24.0,24,13.530294
49.0,49,13.585807
29.0,29,13.6192
18.0,18,13.640619
45.0,45,13.691265
76.0,76,13.77567
64.0,64,13.848007
52.0,52,13.905395
57.0,57,13.973759
63.0,63,14.043984
55.0,55,14.106815
142.0,142,14.271864
74.0,74,14.353254
62.0,62,14.425566
141.0,141,14.587023
52.0,52,14.644454
246.0,246,14.91934
321.0,321,15.276459
203.0,203,15.499714
68.0,68,15.576367
86.0,86,15.6712
113.0,113,15.797778
86.0,86,15.892803
49.0,49,15.947274
51.0,51,16.005321
61.0,61,16.075611
49.0,49,16.130294
57.0,57,16.192891
50.0,50,16.249235
122.0,122,16.389901
122.0,122,16.528278
170.0,170,16.723743
