#{"t_start": 1675218992.700298, "env_id": "CartPole-v1"}
r,l,t
30.0,30,0.957469
19.0,19,0.981042
14.0,14,0.998507
30.0,30,1.033996
41.0,41,1.082059
29.0,29,1.116861
38.0,38,1.164282
11.0,11,1.180479
14.0,14,1.19756
24.0,24,1.224204
28.0,28,1.257608
30.0,30,1.292737
35.0,35,1.332525
27.0,27,1.362317
14.0,14,1.379789
136.0,136,1.535622
42.0,42,1.584979
186.0,186,1.796266
146.0,146,1.964337
138.0,138,2.118622
197.0,197,2.336163
246.0,246,2.611647
438.0,438,3.098551
233.0,233,3.359669
241.0,241,3.626898
98.0,98,3.737039
174.0,174,3.93022
159.0,159,4.107543
277.0,277,4.428448
165.0,165,5.263109
173.0,173,5.458512
290.0,290,5.790117
500.0,500,6.344776
212.0,212,6.58877
500.0,500,7.147747
260.0,260,7.437654
262.0,262,7.73827
299.0,299,8.076593
165.0,165,8.259454
52.0,52,8.316538
500.0,500,9.879364
500.0,500,10.434057
243.0,243,10.708336
126.0,126,10.848848
130.0,130,10.994459
205.0,205,11.220526
166.0,166,11.404028
194.0,194,11.622495
173.0,173,11.829819
117.0,117,11.965401
130.0,130,12.110248
121.0,121,12.24626
127.0,127,12.388893
59.0,59,12.457138
95.0,95,12.564152
78.0,78,12.651854
39.0,39,12.695741
29.0,29,12.72708
62.0,62,12.80024
53.0,53,12.858243
31.0,31,12.894875
31.0,31,12.92909
35.0,35,12.969121
67.0,67,13.04339
52.0,52,13.103555
46.0,46,13.265852
33.0,33,13.303397
43.0,43,13.357047
83.0,83,13.458915
57.0,57,13.527557
39.0,39,13.573568
44.0,44,13.624502
49.0,49,13.677958
29.0,29,13.710623
55.0,55,13.772175
48.0,48,13.826425
59.0,59,13.893414
77.0,77,13.982177
105.0,105,14.101908
53.0,53,14.165628
88.0,88,14.263996
73.0,73,14.346973
113.0,113,14.476274
69.0,69,14.555079
61.0,61,14.623504
172.0,172,14.816561
189.0,189,15.027778
280.0,280,15.337069
144.0,144,15.495603
153.0,153,15.66629
81.0,81,15.756235
59.0,59,15.822077
64.0,64,15.893382
74.0,74,15.975547
58.0,58,16.043044
61.0,61,16.110853
53.0,53,16.171058
53.0,53,16.230977
71.0,71,16.311838
121.0,121,16.448801
133.0,133,16.604682
145.0,145,16.77007
