#{"t_start": 1675218992.7011707, "env_id": "CartPole-v1"}
r,l,t
9.0,9,0.930996
56.0,56,0.999047
29.0,29,1.034055
19.0,19,1.056302
20.0,20,1.080316
25.0,25,1.110188
18.0,18,1.132392
19.0,19,1.153482
16.0,16,1.178712
22.0,22,1.204212
29.0,29,1.238831
22.0,22,1.263716
59.0,59,1.331717
17.0,17,1.350055
56.0,56,1.417427
113.0,113,1.545465
53.0,53,1.607585
57.0,57,1.672715
145.0,145,1.834854
154.0,154,2.012353
198.0,198,2.232816
151.0,151,2.400804
180.0,180,2.603209
109.0,109,2.724786
99.0,99,2.833601
428.0,428,3.310132
376.0,376,3.729861
237.0,237,3.993299
245.0,245,4.274628
166.0,166,5.117467
225.0,225,5.366415
276.0,276,5.680725
310.0,310,6.025618
495.0,495,6.586626
500.0,500,7.145195
152.0,152,7.313298
63.0,63,7.384903
190.0,190,7.602015
500.0,500,8.165878
36.0,36,8.205076
111.0,111,8.327867
416.0,416,9.797494
500.0,500,10.354748
297.0,297,10.68654
130.0,130,10.832041
202.0,202,11.056013
195.0,195,11.271157
192.0,192,11.485787
188.0,188,11.708571
139.0,139,11.869161
120.0,120,12.00456
125.0,125,12.143855
105.0,105,12.262602
128.0,128,12.408694
79.0,79,12.499434
102.0,102,12.612416
57.0,57,12.675057
72.0,72,12.759347
41.0,41,12.805901
64.0,64,12.87753
38.0,38,12.919017
73.0,73,13.002416
36.0,36,13.042614
44.0,44,13.092689
28.0,28,13.124789
33.0,33,13.27258
45.0,45,13.32615
18.0,18,13.349239
54.0,54,13.416007
33.0,33,13.453822
40.0,40,13.502759
46.0,46,13.557403
42.0,42,13.607014
36.0,36,13.647305
33.0,33,13.685402
38.0,38,13.726689
31.0,31,13.760837
68.0,68,13.837657
47.0,47,13.889561
88.0,88,13.992862
146.0,146,14.160654
59.0,59,14.228852
56.0,56,14.291074
71.0,71,14.371456
86.0,86,14.472561
118.0,118,14.605091
148.0,148,14.771272
146.0,146,14.932413
500.0,500,15.487581
129.0,129,15.631406
111.0,111,15.754649
101.0,101,15.866462
37.0,37,15.908193
70.0,70,15.986617
70.0,70,16.068369
55.0,55,16.129641
39.0,39,16.17159
49.0,49,16.226101
53.0,53,16.287987
114.0,114,16.417362
152.0,152,16.593419
122.0,122,16.73156
